N,Overlap,Deg_Rate,Noise_Std,Memory_Class,r_star,fidelity_at_r,fidelity_prev,slope,collapsed,braak_at_collapse,plateau_height,post_floor,transition_width,auc
500,high,slow,0.1,weak_remote,0.7,0.3736203285640416,0.9414519995450974,-22.71326683924223,True,Stage_3,0.9999822885857688,-0.0011699873810013138,0.044777423070213374,0.7018870297564581
500,high,slow,0.2,strong_recent,0.925,0.19466980859637262,0.999993837594986,-32.212961159944534,True,Stage_3,1.0000000153289121,0.31980361176133154,0.08461412849890637,0.9274754673309625
500,high,slow,0.2,strong_salient,0.95,0.22361878323554993,1.0000002069473266,-31.055256948471065,True,Stage_3,1.0000001272243613,0.4887765769243241,0.060429886298406066,0.9485972486644982
500,high,slow,0.2,weak_dense,0.825,0.308191230095923,0.9999687832196553,-27.671102124949293,True,Stage_3,0.9999999938230405,0.027338879389222713,0.04139160656331642,0.8255770136129926
500,high,slow,0.2,weak_remote,0.7,0.3736203285640416,0.9414519995450974,-22.71326683924223,True,Stage_3,0.9999822885990142,-0.0011699873703221477,0.044777423070213374,0.7018870297657404
500,high,slow,0.3,strong_recent,0.925,0.1946697957664728,0.9999938371181488,-32.21296165406704,True,Stage_3,1.0000000153289121,0.3198035995960236,0.08461412712009786,0.9274754658281804
500,high,slow,0.3,strong_salient,0.95,0.2236187816262245,1.0000002069473266,-31.055257012844084,True,Stage_3,1.0000001272243613,0.4887765739202499,0.060429885614018186,0.9485972482889891
500,high,slow,0.3,weak_dense,0.825,0.308191230095923,0.9999687832196553,-27.671102124949293,True,Stage_3,0.9999999938230405,0.027338879380033664,0.04139160656331642,0.825577013611844
500,high,slow,0.3,weak_remote,0.7,0.3736203285640416,0.9414519995450974,-22.71326683924223,True,Stage_3,0.9993885253306685,-0.00116998729283611,0.044777423070213374,0.7013337196963917
500,high,slow,0.4,strong_recent,0.925,0.19466976344585418,0.9999938346147538,-32.21296284675598,True,Stage_3,1.0000000153289121,0.3198035746902228,0.08461412482138975,0.9274754627030344
500,high,slow,0.4,strong_salient,0.95,0.22361877825856208,1.000000207066536,-31.05525715231895,True,Stage_3,1.0000001272243613,0.48877656756639487,0.060429884154981184,0.9485972474947572
500,high,slow,0.4,weak_dense,0.825,0.308191230095923,0.9999687832196553,-27.671102124949293,True,Stage_3,0.9999999938230405,0.02733887944694143,0.04139160656331642,0.8255770136202074
500,high,slow,0.4,weak_remote,0.7,0.3736203285640416,0.9414519995450974,-22.71326683924223,True,Stage_3,0.9965480290408143,-0.0011699870799978575,0.044777423070213374,0.6984749140722271
500,high,slow,0.5,strong_recent,0.925,0.1946696724742651,0.9999938319921493,-32.212966380715365,True,Stage_3,1.0000000153289121,0.31980352524518973,0.08461412148069225,0.9274754564508796
500,high,slow,0.5,strong_salient,0.95,0.22361877220869064,1.000000207066536,-31.05525739431381,True,Stage_3,1.0000001272243613,0.48877655694484723,0.06042988175520991,0.9485972461670638
500,high,slow,0.5,weak_dense,0.825,0.308191230095923,0.9999687832196553,-27.671102124949293,True,Stage_3,0.9999999938230405,0.027338879424706104,0.04139160656331642,0.8255770136174281
